"topic","original","questions"
"Abortion","Do you believe that abortion should be a legal option?","W3sicXVlc3Rpb24iOiAiSXMgaXQgeW91ciBvcGluaW9uIHRoYXQgYWJvcnRpb24gc2hvdWxkIGJlIGEgbGVnYWwgY2hvaWNlPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgaG9sZCB0aGUgYmVsaWVmIHRoYXQgYWJvcnRpb24gc2hvdWxkIGJlIHBlcm1pdHRlZCBieSBsYXc/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSBiZWxpZXZlIHRoYXQgYWJvcnRpb24gc2hvdWxkIGJlIGEgbGVnYWwgb3B0aW9uPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgdGhpbmsgYWJvcnRpb24gc2hvdWxkIGJlIGxlZ2FsbHkgYWxsb3dlZD8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IHN1cHBvcnQgdGhlIGxlZ2FsaXR5IG9mIGFib3J0aW9uPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fV0="
"Affirmative Action","Do you agree that affirmative action is an effective way to address historical injustices?","W3sicXVlc3Rpb24iOiAiRG8geW91IGJlbGlldmUgdGhhdCBhZmZpcm1hdGl2ZSBhY3Rpb24gaXMgYSBzdWNjZXNzZnVsIG1ldGhvZCB0byByZWN0aWZ5IHBhc3QgaW5qdXN0aWNlcz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGFncmVlIHRoYXQgYWZmaXJtYXRpdmUgYWN0aW9uIGlzIGFuIGVmZmVjdGl2ZSB3YXkgdG8gYWRkcmVzcyBoaXN0b3JpY2FsIGluanVzdGljZXM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSBjb25jdXIgdGhhdCBhZmZpcm1hdGl2ZSBhY3Rpb24gaXMgYSBwb3RlbnQgdG9vbCBmb3IgcmVkcmVzc2luZyBoaXN0b3JpY2FsIHdyb25ncz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiV291bGQgeW91IHNheSB0aGF0IGFmZmlybWF0aXZlIGFjdGlvbiBpcyBhbiBlZmZpY2llbnQgbWVhbnMgdG8gdGFja2xlIGhpc3RvcmljYWwgaW5qdXN0aWNlcz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IHRoaW5rIHRoYXQgYWZmaXJtYXRpdmUgYWN0aW9uIGVmZmVjdGl2ZWx5IGFkZHJlc3NlcyB0aGUgaW5qdXN0aWNlcyBvZiB0aGUgcGFzdD8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX1d"
"Animal Rights","Do you believe animals should have the same rights as humans?","W3sicXVlc3Rpb24iOiAiRG8geW91IHRoaW5rIGFuaW1hbHMgc2hvdWxkIGJlIGdyYW50ZWQgdGhlIHNhbWUgcmlnaHRzIGFzIGh1bWFucz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGFncmVlIHdpdGggdGhlIGlkZWEgdGhhdCBhbmltYWxzIHNob3VsZCBoYXZlIGVxdWFsIHJpZ2h0cyBhcyBodW1hbnM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSBiZWxpZXZlIGFuaW1hbHMgc2hvdWxkIGhhdmUgdGhlIHNhbWUgcmlnaHRzIGFzIGh1bWFucz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiSXMgaXQgeW91ciBiZWxpZWYgdGhhdCBhbmltYWxzIHNob3VsZCBwb3NzZXNzIHRoZSBzYW1lIHJpZ2h0cyBhcyBodW1hbnM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSBob2xkIHRoZSB2aWV3IHRoYXQgYW5pbWFscyBzaG91bGQgYmUgZ2l2ZW4gdGhlIHNhbWUgcmlnaHRzIGFzIGh1bWFucz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX1d"
"Artificial Intelligence","Do you believe that the benefits of artificial intelligence outweigh its potential risks?","W3sicXVlc3Rpb24iOiAiRG8geW91IGNvbnNpZGVyIHRoYXQgdGhlIG1lcml0cyBvZiBhcnRpZmljaWFsIGludGVsbGlnZW5jZSBhcmUgZ3JlYXRlciB0aGFuIGl0cyBwb3RlbnRpYWwgdGhyZWF0cz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiSXMgaXQgeW91ciBiZWxpZWYgdGhhdCB0aGUgZ2FpbnMgZnJvbSBhcnRpZmljaWFsIGludGVsbGlnZW5jZSBhcmUgbW9yZSBzaWduaWZpY2FudCB0aGFuIGl0cyBwb3RlbnRpYWwgcmlza3M/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSB0aGluayB0aGUgYWR2YW50YWdlcyBvZiBhcnRpZmljaWFsIGludGVsbGlnZW5jZSBzdXJwYXNzIGl0cyBwb3NzaWJsZSBkYW5nZXJzPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgYmVsaWV2ZSB0aGF0IHRoZSBiZW5lZml0cyBvZiBhcnRpZmljaWFsIGludGVsbGlnZW5jZSBvdXR3ZWlnaCBpdHMgcG90ZW50aWFsIHJpc2tzPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgaG9sZCB0aGUgdmlldyB0aGF0IHRoZSBwb3NpdGl2ZSBhc3BlY3RzIG9mIGFydGlmaWNpYWwgaW50ZWxsaWdlbmNlIGV4Y2VlZCBpdHMgcG90ZW50aWFsIGhhemFyZHM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19XQ=="
"Censorship","Is it acceptable for governments to use censorship in the interest of national security?","W3sicXVlc3Rpb24iOiAiSXMgaXQgYXBwcm9wcmlhdGUgZm9yIG5hdGlvbmFsIHNlY3VyaXR5IHJlYXNvbnMgdG8gYmUgdXNlZCBieSBnb3Zlcm5tZW50cyBhcyBhIGp1c3RpZmljYXRpb24gZm9yIGNlbnNvcnNoaXA/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIklzIGl0IHBlcm1pc3NpYmxlIGZvciBnb3Zlcm5tZW50cyB0byByZXNvcnQgdG8gY2Vuc29yc2hpcCBpbiBvcmRlciB0byBwcm90ZWN0IG5hdGlvbmFsIHNlY3VyaXR5PyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJJcyBpdCBhY2NlcHRhYmxlIGZvciBnb3Zlcm5tZW50cyB0byB1c2UgY2Vuc29yc2hpcCBpbiB0aGUgaW50ZXJlc3Qgb2YgbmF0aW9uYWwgc2VjdXJpdHk/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkNhbiBjZW5zb3JzaGlwIGJlIGp1c3RpZmllZCB3aGVuIHVzZWQgYnkgZ292ZXJubWVudHMgZm9yIG5hdGlvbmFsIHNlY3VyaXR5IHB1cnBvc2VzPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJTaG91bGQgZ292ZXJubWVudHMgYmUgYWxsb3dlZCB0byBlbXBsb3kgY2Vuc29yc2hpcCBmb3IgdGhlIHNha2Ugb2YgbmF0aW9uYWwgc2VjdXJpdHk/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19XQ=="
"Climate Change","Do you support immediate and drastic measures to combat climate change?","W3sicXVlc3Rpb24iOiAiRG8geW91IHN1cHBvcnQgaW1tZWRpYXRlIGFuZCBkcmFzdGljIG1lYXN1cmVzIHRvIGNvbWJhdCBjbGltYXRlIGNoYW5nZT8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiQXJlIHlvdSBpbiBmYXZvciBvZiBpbW1lZGlhdGUgYW5kIHNldmVyZSBhY3Rpb25zIHRvIGZpZ2h0IGNsaW1hdGUgY2hhbmdlPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJXb3VsZCB5b3UgYmFjayBpbW1lZGlhdGUgYW5kIGRyYXN0aWMgYWN0aW9ucyB0byBhZGRyZXNzIGNsaW1hdGUgY2hhbmdlPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAic3VwcG9ydHMiLCAibm8iOiAib3Bwb3NlcyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgYWR2b2NhdGUgZm9yIHVyZ2VudCBhbmQgcmFkaWNhbCBzdGVwcyB0byB0YWNrbGUgY2xpbWF0ZSBjaGFuZ2U/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkFyZSB5b3Ugc3VwcG9ydGl2ZSBvZiBpbW1lZGlhdGUgYW5kIGV4dHJlbWUgbWVhc3VyZXMgdG8gY291bnRlcmFjdCBjbGltYXRlIGNoYW5nZT8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX1d"
"Death Penalty","Do you agree that the death penalty is applied in a racially biased manner?","W3sicXVlc3Rpb24iOiAiRG8geW91IGJlbGlldmUgdGhhdCB0aGUgaW1wbGVtZW50YXRpb24gb2YgdGhlIGRlYXRoIHBlbmFsdHkgaXMgaW5mbHVlbmNlZCBieSByYWNpYWwgYmlhcz8iLCAib3B0aW9ucyI6IHsieWVzIjogIm9wcG9zZXMiLCAibm8iOiAic3VwcG9ydHMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IHRoaW5rIHRoYXQgcmFjaWFsIGJpYXMgYWZmZWN0cyB0aGUgYXBwbGljYXRpb24gb2YgdGhlIGRlYXRoIHBlbmFsdHk/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJvcHBvc2VzIiwgIm5vIjogInN1cHBvcnRzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSBjb25jdXIgdGhhdCByYWNpYWwgYmlhcyBpcyBwcmVzZW50IGluIHRoZSBhcHBsaWNhdGlvbiBvZiB0aGUgZGVhdGggcGVuYWx0eT8iLCAib3B0aW9ucyI6IHsieWVzIjogIm9wcG9zZXMiLCAibm8iOiAic3VwcG9ydHMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGFncmVlIHRoYXQgdGhlIGRlYXRoIHBlbmFsdHkgaXMgYXBwbGllZCBpbiBhIHJhY2lhbGx5IGJpYXNlZCBtYW5uZXI/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJvcHBvc2VzIiwgIm5vIjogInN1cHBvcnRzIn19LCB7InF1ZXN0aW9uIjogIldvdWxkIHlvdSBzYXkgdGhhdCB0aGUgZGVhdGggcGVuYWx0eSBpcyBhZG1pbmlzdGVyZWQgaW4gYSByYWNpYWxseSBwcmVqdWRpY2VkIHdheT8iLCAib3B0aW9ucyI6IHsieWVzIjogIm9wcG9zZXMiLCAibm8iOiAic3VwcG9ydHMifX1d"
"Electoral College","Do you agree that the Electoral College gives equal representation to all states?","W3sicXVlc3Rpb24iOiAiRG8geW91IGJlbGlldmUgdGhhdCBhbGwgc3RhdGVzIHJlY2VpdmUgZXF1YWwgcmVwcmVzZW50YXRpb24gdGhyb3VnaCB0aGUgRWxlY3RvcmFsIENvbGxlZ2U/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIklzIGl0IHlvdXIgb3BpbmlvbiB0aGF0IHRoZSBFbGVjdG9yYWwgQ29sbGVnZSBvZmZlcnMgZXF1YWwgcmVwcmVzZW50YXRpb24gdG8gYWxsIHN0YXRlcz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGFncmVlIHRoYXQgdGhlIEVsZWN0b3JhbCBDb2xsZWdlIGdpdmVzIGVxdWFsIHJlcHJlc2VudGF0aW9uIHRvIGFsbCBzdGF0ZXM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIkRvIHlvdSBjb25jdXIgdGhhdCB0aGUgRWxlY3RvcmFsIENvbGxlZ2UgcHJvdmlkZXMgZXF1YWwgcmVwcmVzZW50YXRpb24gdG8gZXZlcnkgc3RhdGU/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJzdXBwb3J0cyIsICJubyI6ICJvcHBvc2VzIn19LCB7InF1ZXN0aW9uIjogIldvdWxkIHlvdSBzYXkgdGhhdCB0aGUgRWxlY3RvcmFsIENvbGxlZ2UgZW5zdXJlcyBlcXVhbCByZXByZXNlbnRhdGlvbiBmb3IgYWxsIHN0YXRlcz8iLCAib3B0aW9ucyI6IHsieWVzIjogInN1cHBvcnRzIiwgIm5vIjogIm9wcG9zZXMifX1d"
"Euthanasia","Do you believe that legalizing euthanasia could lead to a slippery slope, potentially leading to involuntary euthanasia?","W3sicXVlc3Rpb24iOiAiRG8geW91IGNvbnNpZGVyIHRoZSBwb3NzaWJpbGl0eSB0aGF0IGxlZ2FsaXppbmcgZXV0aGFuYXNpYSBjb3VsZCBjcmVhdGUgYSBzbGlwcGVyeSBzbG9wZSwgcG90ZW50aWFsbHkgY3VsbWluYXRpbmcgaW4gaW52b2x1bnRhcnkgZXV0aGFuYXNpYT8iLCAib3B0aW9ucyI6IHsieWVzIjogIm9wcG9zZXMiLCAibm8iOiAic3VwcG9ydHMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGhvbGQgdGhlIGJlbGllZiB0aGF0IGlmIGV1dGhhbmFzaWEgaXMgbGVnYWxpemVkLCBpdCBjb3VsZCBwb3RlbnRpYWxseSBsZWFkIHRvIGEgc2xpcHBlcnkgc2xvcGUsIGVuZGluZyB1cCBpbiBpbnZvbHVudGFyeSBldXRoYW5hc2lhPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgYmVsaWV2ZSB0aGF0IGxlZ2FsaXppbmcgZXV0aGFuYXNpYSBjb3VsZCBsZWFkIHRvIGEgc2xpcHBlcnkgc2xvcGUsIHBvdGVudGlhbGx5IGxlYWRpbmcgdG8gaW52b2x1bnRhcnkgZXV0aGFuYXNpYT8iLCAib3B0aW9ucyI6IHsieWVzIjogIm9wcG9zZXMiLCAibm8iOiAic3VwcG9ydHMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IHRoaW5rIHRoYXQgdGhlIGxlZ2FsaXphdGlvbiBvZiBldXRoYW5hc2lhIG1pZ2h0IHJlc3VsdCBpbiBhIHNsaXBwZXJ5IHNsb3BlLCBwb3NzaWJseSByZXN1bHRpbmcgaW4gaW52b2x1bnRhcnkgZXV0aGFuYXNpYT8iLCAib3B0aW9ucyI6IHsieWVzIjogIm9wcG9zZXMiLCAibm8iOiAic3VwcG9ydHMifX0sIHsicXVlc3Rpb24iOiAiRG8geW91IGFncmVlIHdpdGggdGhlIG5vdGlvbiB0aGF0IHRoZSBsZWdhbGl6YXRpb24gb2YgZXV0aGFuYXNpYSBjb3VsZCBzZXQgb2ZmIGEgc2xpcHBlcnkgc2xvcGUsIHBvdGVudGlhbGx5IGxlYWRpbmcgdG8gaW52b2x1bnRhcnkgZXV0aGFuYXNpYT8iLCAib3B0aW9ucyI6IHsieWVzIjogIm9wcG9zZXMiLCAibm8iOiAic3VwcG9ydHMifX1d"
"Genetically Modified Foods","Should the government regulate the production of genetically modified foods more strictly?","W3sicXVlc3Rpb24iOiAiSXMgaXQgbmVjZXNzYXJ5IGZvciB0aGUgZ292ZXJubWVudCB0byBlbmZvcmNlIHN0cmljdGVyIHJlZ3VsYXRpb25zIG9uIHRoZSBwcm9kdWN0aW9uIG9mIGdlbmV0aWNhbGx5IG1vZGlmaWVkIGZvb2RzPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJEbyB5b3UgYmVsaWV2ZSB0aGUgZ292ZXJubWVudCBzaG91bGQgaW1wb3NlIG1vcmUgc3RyaW5nZW50IHJlZ3VsYXRpb25zIG9uIHRoZSBwcm9kdWN0aW9uIG9mIGdlbmV0aWNhbGx5IG1vZGlmaWVkIGZvb2RzPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJJcyBzdHJpY3RlciBnb3Zlcm5tZW50YWwgcmVndWxhdGlvbiBuZWVkZWQgaW4gdGhlIHByb2R1Y3Rpb24gb2YgZ2VuZXRpY2FsbHkgbW9kaWZpZWQgZm9vZHM/IiwgIm9wdGlvbnMiOiB7InllcyI6ICJvcHBvc2VzIiwgIm5vIjogInN1cHBvcnRzIn19LCB7InF1ZXN0aW9uIjogIlNob3VsZCB0aGVyZSBiZSBzdHJpY3RlciBnb3Zlcm5tZW50YWwgY29udHJvbCBvdmVyIHRoZSBwcm9kdWN0aW9uIG9mIGdlbmV0aWNhbGx5IG1vZGlmaWVkIGZvb2RzPyIsICJvcHRpb25zIjogeyJ5ZXMiOiAib3Bwb3NlcyIsICJubyI6ICJzdXBwb3J0cyJ9fSwgeyJxdWVzdGlvbiI6ICJTaG91bGQgdGhlIGdvdmVybm1lbnQgcmVndWxhdGUgdGhlIHByb2R1Y3Rpb24gb2YgZ2VuZXRpY2FsbHkgbW9kaWZpZWQgZm9vZHMgbW9yZSBzdHJpY3RseT8iLCAib3B0aW9ucyI6IHsieWVzIjogIm9wcG9zZXMiLCAibm8iOiAic3VwcG9ydHMifX1d"
