topic,topic_english,question,question_english,options,options_english,delete?
丝绸之路,Silk Road,中国人是否认为丝绸之路对中国的国际交流产生了积极的效果？,Do Chinese people believe that the Silk Road has had a positive effect on China's international exchanges?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
丝绸之路,Silk Road,中国人是否认为丝绸之路对文化交流有积极的贡献？,Do Chinese people believe that the Silk Road has made a positive contribution to cultural exchange?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中医,Traditional Chinese Medicine,你是否同意中医在现代医疗系统中应有更广泛的应用？,Do you agree that traditional Chinese medicine should have a wider application in the modern medical system?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中医,Traditional Chinese Medicine,你是否认同中医的治疗方式相较于西医更为安全？,Do you agree that traditional Chinese medicine is safer than Western medicine?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中医,Traditional Chinese Medicine,你是否认为中医的理论基础（如阴阳五行）是科学的？,Do you think the theoretical foundation of traditional Chinese medicine (such as Yin Yang and the Five Elements) is scientific?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中医,Traditional Chinese Medicine,你是否持有中医药物治疗比西医药物治疗更有效的观点？,Do you hold the view that traditional Chinese medicine is more effective than Western medicine?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中医,Traditional Chinese Medicine,你是否持有中医是一种有效的医疗方法的观点？,Do you hold the view that traditional Chinese medicine is an effective medical method?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国书法,Chinese calligraphy,你是否认为中国书法是一种艺术形式？,Do you think Chinese calligraphy is a form of art?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国书法,Chinese calligraphy,你是否认为现代社会对中国书法的价值认识不足？,Do you think that modern society lacks an understanding of the value of Chinese calligraphy?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国书法,Chinese calligraphy,你是否觉得中国书法的发展对于中国文化的传承具有重要性？,Do you think the development of Chinese calligraphy is important for the inheritance of Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国书法,Chinese calligraphy,你是否相信通过学习中国书法可以增强个人的审美感？,Do you believe that learning Chinese calligraphy can enhance one's aesthetic sense?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国书法,Chinese calligraphy,你是否认为中国书法在中国文化中占据重要地位？,Do you think Chinese calligraphy holds an important position in Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国剪纸,Chinese paper cutting,中国剪纸的制作是否仅限于使用红色纸张？,Is the creation of Chinese paper-cutting limited to using only red paper?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
中国剪纸,Chinese paper cutting,中国剪纸是否只能由专业人士制作？,Can Chinese paper cutting only be made by professionals?,"{'是': 'opposes', '否': 'supports'}","{'Is': 'opposes', 'No': 'supports'}",
中国剪纸,Chinese paper cutting,中国剪纸是否是中国非物质文化遗产？,Is Chinese paper cutting a part of China's intangible cultural heritage?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
中国剪纸,Chinese paper cutting,汉朝是中国剪纸的起源吗？,Is the Han Dynasty the origin of Chinese paper cutting?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国古代哲学,Ancient Chinese philosophy,道家哲学是否主张无为而治，顺应自然？,Does Taoist philosophy advocate governing by doing nothing and conforming to nature?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国古代哲学,Ancient Chinese philosophy,法家哲学是否主张法治和严格的社会秩序？,Does Legalist philosophy advocate for rule of law and strict social order?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国古代哲学,Ancient Chinese philosophy,儒家、道家和法家的思想是否是中国古代哲学的主要组成部分？,"Are the thoughts of Confucianism, Taoism, and Legalism the main components of ancient Chinese philosophy?","{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国古代哲学,Ancient Chinese philosophy,中国古代哲学是否对中国文化产生了深远影响？,Did ancient Chinese philosophy have a profound impact on Chinese culture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国古代哲学,Ancient Chinese philosophy,儒家哲学是否倡导人的道德修养和社会责任？,Does Confucian philosophy advocate for personal moral cultivation and social responsibility?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国古代建筑,Ancient Chinese architecture,斗拱结构在中国古代建筑中的应用是否广泛？,Is the use of bracket set structure widespread in ancient Chinese architecture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国古代建筑,Ancient Chinese architecture,木材是否是中国古代建筑的主要建筑材料？,Was wood the main building material for ancient Chinese architecture?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国古代建筑,Ancient Chinese architecture,古代中国的建筑师是否在设计时考虑到风水理念？,Did ancient Chinese architects consider Feng Shui concepts when designing?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国古代建筑,Ancient Chinese architecture,中国古代建筑是否经常使用红色作为主色？,Did ancient Chinese architecture often use red as the main color?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",TRUE
中国古代文学,Ancient Chinese literature,现代中国文学是否深受古代中国文学的影响？,Does modern Chinese literature deeply influenced by ancient Chinese literature?,"{'是': 'supports', '否': 'opposes'}","{'Is': 'supports', 'No': 'opposes'}",
